link,text,date,Likes,Comments
https://twitter.com/exitfundvc/status/1509315078058741766#m,Do you have a million-dollar business idea? Great!  But...  These deadly startup mistakes can take your million-dollar business idea into ruins. Here are 4 fatal startup mistakes you should dodge:,"Mar 30, 2022 · 11:42 PM UTC",2,1
https://twitter.com/mbeaudroit/status/1509314224035549189#m,En su momento me parecía una genial idea de hacer una startup de baños. No sé cuan rentable podría ser.,"Mar 30, 2022 · 11:38 PM UTC",1,1
https://twitter.com/sidehustlebot/status/1509314186399997952#m,"Startup idea:  launch a computer software app and advertise house repairs, paints, and tools to mixed-race people that still live at home that are militantly against multitools. What do you think?    #twitterbots #businesslife #grindout","Mar 30, 2022 · 11:38 PM UTC",0,0
https://twitter.com/Ronak_Majmudar/status/1509311152223920130#m,"startup idea: measure lost productivity from ""traditional"" expense management systems' auto-rejections","Mar 30, 2022 · 11:26 PM UTC",1,0
https://twitter.com/UmangShah2909/status/1509307603045691402#m,We soon need a startup who focuses more on Customer Retention than Customer Acquisition!  #startup #startups #zomato #swiggy #ola #uber #startupidea #billiondollar #startuppitch,"Mar 30, 2022 · 11:12 PM UTC",0,0
https://twitter.com/BadSoftwareIdea/status/1509304555703521285#m,Startup idea: A startup that makes elaborate Halloween costumes for pets,"Mar 30, 2022 · 11:00 PM UTC",0,0
https://twitter.com/foundersboard/status/1509303858110996480#m,Beewise: Robotic beehives   Funding: $80M  #bees #robotics #ai #solar #israel #startup #startupidea #funding #beehome #pollinators https://www.beewise.ag/,"Mar 30, 2022 · 10:57 PM UTC",0,0
https://twitter.com/HottestStartups/status/1509303469638774787#m,"Startup idea: They do not intend to introduce division of property; on the contrary, they are for abolishing its division.","Mar 30, 2022 · 10:56 PM UTC",0,0
https://twitter.com/ButterBabe__/status/1509300793731596307#m,"Startup idea: Replicate Port Harcourt Bole in Lagos.  Location : Amuwo Odofin, Ikeja, Surulere and Ikate/Elegushi.","Mar 30, 2022 · 10:45 PM UTC",1,2
https://twitter.com/Capri_lynnn/status/1509300103185580033#m,"startup idea: crypto, but fast","Mar 30, 2022 · 10:42 PM UTC",8,2
https://twitter.com/nenemazu/status/1509300045308313602#m,29% accepted with only an idea?! Knowing YC now gives $500k commitment to all startups accepted.   Time to start the app.,"Mar 30, 2022 · 10:42 PM UTC",1,0
https://twitter.com/catchupdates/status/1509295456131506180#m,5 Amazing #Tools For Generating Great #Content Ideas #blogging #wordpress #seo #startup #blogger #blog #business https://catchupdates.com/5-amazing-tools-generating-great-content-ideas/?utm_source=twitter&utm_medium=social&utm_campaign=ReviveOldPost,"Mar 30, 2022 · 10:24 PM UTC",0,0
https://twitter.com/afraymond/status/1509293713801027595#m,"Iconic startup event coming up in April. Techstars Demo Days are always filled with great people, inspiring ideas, and tons of energy.   Come check it out - it's open to the community. https://lnkd.in/dxzsHD-Y","Mar 30, 2022 · 10:17 PM UTC",0,0
https://twitter.com/j_greenwood/status/1509293318412378127#m,Oh in the startup file! Nice idea. I set up at the start of experiment code but that’s a nice general backup too,"Mar 30, 2022 · 10:15 PM UTC",1,1
https://twitter.com/m_e_i_s_e_l/status/1509291800233717760#m,Startup idea: individually wrapped peas.,"Mar 30, 2022 · 10:09 PM UTC",2,2
https://twitter.com/philbak1/status/1509291372729225224#m,"So @johnarmstrong left a 20 year Wall Street career to launch his own startup bc the idea was keeping him up at night.  Recruited a world class team, and they've worked harder than ever for over a year, without a paycheck.  Just got this text.  This is what startups are about 🚀","Mar 30, 2022 · 10:07 PM UTC",28,5
https://twitter.com/technicallyPGH/status/1509291008860856324#m,".@dradin is big on ""effectiveness"" over ""efficiency."" He even built a startup around the idea.  Pittsburgh scheduling tech company Confirmed wants to optimize your time and increase workplace effectiveness: https://technical.ly/startups/confirmed-david-radin","Mar 30, 2022 · 10:06 PM UTC",0,0
https://twitter.com/startupideas29/status/1509289560970350594#m,"Startup Idea 269: The company is building a new kind of augmented reality headset that pairs with your phone, allowing users to see the real world blended with computer generated images. #StartupIdeas #BusinessIdeas","Mar 30, 2022 · 10:00 PM UTC",0,0
https://twitter.com/BadSoftwareIdea/status/1509289465591877634#m,Startup idea: A startup that makes a wearable device that tracks the user's mood and sends notifications to their loved ones to let them know when they're having a bad day,"Mar 30, 2022 · 10:00 PM UTC",0,0
https://twitter.com/coreynceo/status/1509288912463663107#m,"Key takeaways from all this:  • Being just a tad early is the best situation for your startup • Master technology before your actual idea • Capitalize on economic shifts when they happen • Distribution builds unicorns • Oh, and build great stuff dude","Mar 30, 2022 · 9:58 PM UTC",2,1
https://twitter.com/coreynceo/status/1509288882562428929#m,"Even with the best startup idea, team, and funding, you need to nail timing.  Otherwise, you're bound to fail.  🧵 Here's history to prove it + actions to be first:","Mar 30, 2022 · 9:58 PM UTC",9,3
https://twitter.com/platzi/status/1509287452254642181#m,¡Qué maravilloso! 🤩 Nos encantaría ver tu startup. ¿Ya tienes una idea de emprendimiento? 💚,"Mar 30, 2022 · 9:52 PM UTC",1,1
https://twitter.com/jjtzeng/status/1509286443084091396#m,Last week I organized the most engaging event so far for Stern MBA’s startup community. Pitch Roast 🔥 an improv pitch competition filled with ridiculous ideas.,"Mar 30, 2022 · 9:48 PM UTC",4,0
https://twitter.com/SergeRm/status/1509281955828977666#m,"Te cuento que yo tuve una idea de startup parecida, postulé a los premios TigoConecta y clasifiqué, sólo que por el trabajo que tenía me mantenía ocupado llegué a ver un mes tarde el mail.","Mar 30, 2022 · 9:30 PM UTC",0,0
https://twitter.com/TheVigilAngel/status/1509279413443170315#m,The Electric Car Pre-Order Problem https://invidious.fdn.fr/a6zvvlrd-jw via @YouTube LETS GO! INFLUENCERS GIVING IDEAS ! #startup #mbev,"Mar 30, 2022 · 9:20 PM UTC",0,3
https://twitter.com/Brinso_Brand/status/1509278794133164037#m,Best Security Company Name Ideas For Your Business via @Brinso_Brand  👉https://brinso.com/categories/security-company/ . #Security #startup #startups #branding #entrepreneurs #Entrepreneur #businessnames #businessnaming #Domains #domainnames #startupnames #businesstips,"Mar 30, 2022 · 9:18 PM UTC",1,0
https://twitter.com/AlickMarebel/status/1509277484503687170#m,Idea to MVP with No-Code — Learn to build and launch startups with no-code  https://www.producthunt.com/posts/idea-to-mvp-with-no-code,"Mar 30, 2022 · 9:12 PM UTC",0,0
https://twitter.com/Per5pectiveMan/status/1509276462188224516#m,Feel free to steal this idea if you are in the #coworking place business model. Now that public and private organisations had familiarised themselves with the #remotework lifestyle and it isn't just the way of work of freelancers and geek startups there should 1/n,"Mar 30, 2022 · 9:08 PM UTC",0,1
https://twitter.com/GlobalForceTech/status/1509275437364654080#m,Open until midnight 3/30! Calling all #HUstudents and faculty! The Bison #Startup Foundry is hosting a series of workshops in April to help #HowardUniversity students & staff explore opportunities to commercialize #studentresearch & scale startup ideas. https://bit.ly/BisonFoundry.,"Mar 30, 2022 · 9:04 PM UTC",2,0
https://twitter.com/afdhelaziz/status/1509274515993415687#m,"Inclusive Funding: Pharrell Williams relaunches his incubator program #BlackAmbition, which aims to distribute startup capital and mentorship to Black and Latino entrepreneurs with big ideas. Read more: bit.ly/3LsirZw #goodisthenewcool","Mar 30, 2022 · 9:01 PM UTC",3,0
https://twitter.com/1Mby1M/status/1509274367787782148#m,12 #Udemy Courses on How to Come Up With New #Tech Startup #BusinessIdeas #startupidea ow.ly/igBO30sfXUY,"Mar 30, 2022 · 9:00 PM UTC",0,0
https://twitter.com/BadSoftwareIdea/status/1509274365342400516#m,Startup idea: A startup that delivers donuts to your office,"Mar 30, 2022 · 9:00 PM UTC",0,0
https://twitter.com/CoL_purpose/status/1509274316499828739#m,"Inclusive Funding: Pharrell Williams relaunches his incubator program #BlackAmbition, which aims to distribute startup capital and mentorship to Black and Latino entrepreneurs with big ideas. Read more: bit.ly/3tQkro4 #goodisthenewcool","Mar 30, 2022 · 9:00 PM UTC",2,0
https://twitter.com/CAcctants/status/1509274101634203649#m,Education is the new startup idea as per smt. @nsitharaman ji. I request entreprenuers to pitch for it #education #IIA #startups #India #ICAI #ModiGovt,"Mar 30, 2022 · 8:59 PM UTC",1,0
